id,data_entrada,data_saida,tipo,regime_detectado,preco_entrada,preco_saida,quantidade,pnl_bruto,taxas_slippage,pnl_liquido,retorno_pct,motivo_saida,candles_duracao,range_pct_entrada,range_bin
42,2026-04-15 19:40:00,2026-04-15 19:55:00,COMPRA,Bullish,1.1395695,1.1353888392857143,386.8527328436307,-1.6173000224133809,1.3201107759871293,-2.93741079840051,-0.31665686181095,Stop Loss,3,27.777777777778397,20-40
43,2026-04-16 06:20:00,2026-04-16 06:40:00,COMPRA,Bullish,1.1405699999999999,1.1369285157130335,385.2894671751361,-1.4030255406518808,1.316244284416857,-2.7192698250687375,-0.29407216918899426,Stop Loss,4,58.33333333333426,40-60
44,2026-04-16 17:45:00,2026-04-16 18:20:00,COMPRA,Bullish,1.176588,1.1702687841971113,372.39654711968325,-2.353254145499864,1.3109420445291118,-3.6641961900289757,-0.3974288235639917,Stop Loss,7,64.28571428571455,60-80
45,2026-04-16 20:05:00,2026-04-16 20:35:00,COMPRA,Bullish,1.1805899999999998,1.1863071428571428,369.6591917139692,2.113394407484765,1.3124179270480116,0.8009764804367534,0.08722276634383046,Take Profit,6,55.55555555555537,40-60
46,2026-04-16 22:25:00,2026-04-16 22:35:00,COMPRA,Bullish,1.1805899999999998,1.1900232857142856,369.9816186870264,3.490142318108666,1.3156250110943124,2.1745173070143538,0.2365888769673162,Take Profit,2,48.38709677419336,40-60
47,2026-04-16 22:45:00,2026-04-16 22:50:00,COMPRA,Bullish,1.1815905,1.1748428385152283,370.54293460755537,-2.500298288305674,1.3097395866907675,-3.8100378749964414,-0.4135561353902328,Stop Loss,1,50.0,40-60
48,2026-04-17 14:10:00,2026-04-17 14:20:00,COMPRA,Bullish,1.2066029999999999,1.2014575714285713,361.36105951981733,-1.8593575202549513,1.3052689792189878,-3.164626499473939,-0.3449271748400834,Stop Loss,2,55.26315789473655,40-60
49,2026-04-20 17:10:00,2026-04-20 17:20:00,COMPRA,Bullish,1.1115555,1.1151287142857143,390.90750692497704,1.3967962881373022,1.305641362373445,0.09115492576385709,0.00996978245146139,Take Profit,2,68.42105263157876,60-80
50,2026-04-20 20:05:00,2026-04-20 20:20:00,COMPRA,Lateral,1.1065530000000001,1.104266142857143,235.6283212206441,-0.538848309442868,0.781397404730838,-1.3202457141737058,-0.14438331548695432,Stop Loss,3,5.263157894737396,0-20
51,2026-04-20 20:25:00,2026-04-20 20:45:00,COMPRA,Lateral,1.1065530000000001,1.1044090714285715,235.2881132382395,-0.5044409084889998,0.7803196413416075,-1.2847605498306072,-0.14070578014402146,Stop Loss,4,10.0,0-20
52,2026-04-20 23:30:00,2026-04-20 23:40:00,COMPRA,Lateral,1.104552,1.1024795357142858,117.69134804564817,-0.24391111556216208,0.3896227749262071,-0.6335338904883692,-0.06948180719865922,Stop Loss,2,9.090909090910008,0-20
53,2026-04-20 23:45:00,2026-04-21 00:00:00,COMPRA,Lateral,1.102551,1.1004070714285714,117.82302147277767,-0.2526041421075387,0.3893387642303362,-0.6419429063378749,-0.07045300446428664,Stop Loss,3,20.000000000000593,20-40
54,2026-04-22 06:10:00,2026-04-22 06:15:00,COMPRA,Bullish,1.1305649999999998,1.1272419107142857,191.370933331634,-0.6359426981514642,0.648117923679009,-1.284060621830473,-0.1410245502034573,Stop Loss,1,54.545454545454085,40-60
55,2026-04-22 06:20:00,2026-04-22 06:50:00,COMPRA,Bullish,1.1265629999999998,1.1230223734285714,191.77992030822531,-0.6790210817097228,0.647137955464021,-1.3261590371737437,-0.1458537833035677,Stop Loss,6,11.764705882353017,0-20
56,2026-04-22 06:55:00,2026-04-22 07:00:00,COMPRA,Bullish,1.1235614999999999,1.12055732486631,192.01177871392068,-0.576837010987905,0.6463458708119605,-1.2231828817998656,-0.13472474849598803,Stop Loss,1,0.0,
57,2026-04-22 08:00:00,2026-04-22 08:05:00,COMPRA,Lateral,1.12056,1.11905925,115.36002940784219,-0.1731265641338122,0.3875438138135543,-0.5606703779473665,-0.06183709729352602,Stop Loss,1,12.500000000000174,0-20
58,2026-04-22 15:45:00,2026-04-22 16:00:00,COMPRA,Bullish,1.1265629999999998,1.1239902857142854,191.12394524559764,-0.49170730427544057,0.6452019344267353,-1.136909238702176,-0.12546884999048646,Stop Loss,3,61.53846153846035,60-80
59,2026-04-23 14:30:00,2026-04-23 14:35:00,COMPRA,Lateral,1.0975484999999998,1.0949781288056204,117.55818399399335,-0.30216816980171596,0.3866241732612916,-0.6887923430630076,-0.0761103429449652,Stop Loss,1,18.181818181818183,0-20
60,2026-04-24 00:35:00,2026-04-24 00:50:00,COMPRA,Lateral,1.0955475,1.0982084014755809,117.68326477856094,0.31314357290045725,0.38725253491932216,-0.07410896201886491,-0.008195147367134163,Take Profit,3,0.0,
61,2026-04-24 20:15:00,2026-04-24 20:45:00,COMPRA,Bullish,1.1295644999999999,1.1349957857142856,190.21643697289124,1.0331198167531999,0.6461348832883259,0.38698493346487395,0.04279723253827735,Take Profit,6,47.61904761904787,40-60
62,2026-04-27 21:10:00,2026-04-27 21:30:00,COMPRA,Bullish,1.4447219999999998,1.4330375892857141,148.78550295297242,-1.7384709248341006,0.6422533618044214,-2.380724286638522,-0.2631751660890509,Stop Loss,4,61.76470588235261,60-80
63,2026-04-29 04:30:00,2026-04-29 04:50:00,COMPRA,Lateral,1.4727359999999998,1.4663756785714286,87.34273542636501,-0.5555278717623374,0.38506508059500566,-0.9405929523573431,-0.1042514215262258,Stop Loss,4,2.0408163265306123,0-20
