data_entrada,data_saida,tipo,entrada,saida,tamanho,pnl,capital_final,motivo_saida,score,atr_entrada
2026-04-06 03:10:00,2026-04-06 03:15:00,LONG,1.102,1.099527960235363,6588.622161780685,-16.287335978091555,798.0794629264863,STOP_LOSS,80,0.001648026509758154
2026-04-06 03:40:00,2026-04-06 04:05:00,LONG,1.102,1.0992561281067275,5817.177287928063,-15.961589258529726,782.1178736679566,STOP_LOSS,55,0.001829247928848457
2026-04-06 04:20:00,2026-04-06 05:15:00,LONG,1.107,1.1131692919648954,4225.865129625671,26.070595788931577,808.1884694568881,TAKE_PROFIT,80,0.0024677167859581822
2026-04-06 06:15:00,2026-04-06 06:15:00,LONG,1.116,1.1121366877947478,4183.914871586801,-16.163769389137762,792.0247000677504,STOP_LOSS,60,0.002575541470168089
2026-04-06 12:30:00,2026-04-06 13:55:00,LONG,1.131,1.1266068457796103,3605.722268486627,-15.840494001355008,776.1842060663954,STOP_LOSS,95,0.0029287694802598374
2026-04-06 16:55:00,2026-04-06 16:55:00,LONG,1.126,1.1230680951327963,5294.74346012256,-15.523684121327907,760.6605219450674,STOP_LOSS,75,0.0019546032448024575
2026-04-06 17:25:00,2026-04-06 17:55:00,LONG,1.127,1.1247456594523864,6748.408289513075,-15.21321043890135,745.4473115061661,STOP_LOSS,90,0.001502893698409104
2026-04-06 19:15:00,2026-04-06 19:15:00,LONG,1.125,1.1230718814977871,7732.380666962449,-14.908946230123322,730.5383652760428,STOP_LOSS,100,0.0012854123348085594
2026-04-07 00:45:00,2026-04-07 01:05:00,LONG,1.115,1.1118636228631686,4658.485465265819,-14.610767305520856,715.9275979705219,STOP_LOSS,110,0.002090918091220844
2026-04-07 06:00:00,2026-04-07 06:05:00,LONG,1.112,1.1125599563648558,4299.823195752753,2.407713366216057,718.335311336738,STOP_LOSS,75,0.002220021817572084
2026-04-07 22:05:00,2026-04-07 22:45:00,LONG,1.14,1.1499696622957702,2401.7373575482416,23.9445103778918,742.2798217146297,TAKE_PROFIT,55,0.00398786491830808
2026-04-08 00:00:00,2026-04-08 04:30:00,LONG,1.155,1.1489303436126785,2445.870982960848,-14.845596434292593,727.4342252803372,STOP_LOSS,95,0.004046437591547749
2026-04-08 04:55:00,2026-04-08 05:00:00,LONG,1.154,1.1502869634003927,3918.2712357712394,-14.548684505606744,712.8855407747304,STOP_LOSS,90,0.002475357733071497
2026-04-08 09:10:00,2026-04-08 09:20:00,LONG,1.137,1.1332042615933895,3756.2416816353602,-14.257710815494608,698.6278299592358,STOP_LOSS,80,0.002530492271073703
2026-04-08 10:05:00,2026-04-08 10:05:00,LONG,1.141,1.136494202728584,3101.0175907878206,-13.972556599184715,684.6552733600511,STOP_LOSS,60,0.0030038648476106893
2026-04-09 01:00:00,2026-04-09 01:50:00,LONG,1.113,1.1083288946536844,2931.4486512280923,-13.693105467201022,670.9621678928501,STOP_LOSS,55,0.0031140702308770168
2026-04-09 02:25:00,2026-04-09 04:10:00,LONG,1.113,1.1190795006178764,3678.8228182203616,22.365405596428605,693.3275734892786,TAKE_PROFIT,95,0.0024318002471505817
2026-04-09 05:20:00,2026-04-09 05:20:00,LONG,1.113,1.1090297257745658,3492.5928745562164,-13.866551469785573,679.461022019493,STOP_LOSS,40,0.0026468494836228013
